turma,aluno_id,Cr,Disciplina em Sala de Aula,Participação em Atividades,Relacionamento Interpessoal,Cq
Integrado em ADM - 2019.1,94,7.122222222222224,4.353658536585366,3.451219512195122,3.292682926829268,3.6991869918699187
Integrado em ADM - 2019.1,95,7.872222222222224,3.8395061728395063,3.9135802469135803,3.9753086419753085,3.909465020576132
Integrado em ADM - 2019.1,98,3.938888888888888,3.197530864197531,3.2222222222222223,3.6419753086419755,3.353909465020576
Integrado em ADM - 2019.1,102,7.844444444444445,3.725,3.875,4.0625,3.8874999999999997
Integrado em ADM - 2019.1,108,3.377777777777778,3.9365079365079363,3.6666666666666665,3.8253968253968256,3.8095238095238098
Integrado em ADM - 2019.1,244,8.594444444444443,4.823529411764706,4.735294117647059,4.764705882352941,4.7745098039215685
Integrado em ADM - 2019.1,245,7.688888888888889,4.794117647058823,4.4411764705882355,4.411764705882353,4.549019607843137
Integrado em ADM - 2019.1,246,0.788888888888889,3.6875,3.1875,3.125,3.3333333333333335
Integrado em ADM - 2019.1,247,8.699999999999998,4.705882352941177,4.5,4.676470588235294,4.627450980392157
Integrado em ADM - 2019.1,248,6.8,4.411764705882353,3.8823529411764706,4.382352941176471,4.2254901960784315
Integrado em ADM - 2019.1,249,8.638888888888891,4.5588235294117645,4.852941176470588,4.794117647058823,4.735294117647058
Integrado em ADM - 2019.1,250,7.41111111111111,4.5,3.8529411764705883,4.0588235294117645,4.137254901960785
Integrado em ADM - 2019.1,251,7.944444444444443,4.382352941176471,4.088235294117647,4.294117647058823,4.254901960784314
Integrado em ADM - 2019.1,252,8.683333333333334,5.0,4.911764705882353,4.9411764705882355,4.950980392156863
Integrado em ADM - 2019.1,253,8.238888888888887,4.735294117647059,4.647058823529412,4.705882352941177,4.696078431372549
Integrado em ADM - 2019.1,254,6.583333333333333,4.029411764705882,3.8529411764705883,3.9411764705882355,3.9411764705882355
Integrado em ADM - 2019.1,255,8.72777777777778,4.970588235294118,4.852941176470588,4.9411764705882355,4.921568627450981
Integrado em ADM - 2019.1,256,7.894444444444446,4.617647058823529,4.470588235294118,4.617647058823529,4.568627450980392
Integrado em ADM - 2019.1,257,6.98888888888889,3.9411764705882355,4.0,4.411764705882353,4.11764705882353
